Rank,User/TeamName,Affiliation/Org,Score
340,"Sha Sha All-Stars","Jean Vanier",1850
341,"JavaBeans","Woburn CI",1850
342,"BetterThenTim","Malvern C.I",1850
343,"NiccBoy","Sisler",1800
344,"Greta Thumberg","SAC CompEng",1800
345,"Wang Chung","SAC CompEng",1800
346,"valere ","St. Augustine CHS, Markham ON",1800
347,"Zemmiphobia","Malvern",1750
348,"Lucc211","sisler high school",1750
349,"Crafters","malvern collegiate institute",1700
350,"Salmon","Old Scona",1700
351,"2computers","St Peter's Catholic Secondary School",1700
352,"Xelam","Period4",1700
353,"ass0108","Clarkson Secondary School",1700
354,"SamSepiol30","Fletcher's Meadow, Brampton, Ontario",1650
355,"bruhMOMENT","Sisler High School, Winnipeg MB",1650
356,"HeatherPlatt","-----",1600
357,"The Crodies","Bill Hogarth Secondary School",1600
358,"PRES","Runnymede CI",1600
359,"H4ck1n9 H1pp0z","conseil scolaire catholique providence",1600
360,"Spicy Gals","CWDHS2019CanHacks",1600
361,"PPMaster","Port Credit Secondary School",1550
362,"cosmiCal","Craig Kielburger Secondary School Grade 11",1550
363,"vlado","Sisler High School",1550
364,"AArpasi","ICS3U Fall 2019",1550
365,"Not a penny","Clarkson",1500
366,"azura","Sisler High School",1500
367,"ufw","Sisler High School",1450
368,"TaraEmami.student18","LP2019",1450
369,"Big Brain","ATC CyberSaints",1450
370,"arosen22","CS 10",1450
371,"iBluHD","CS 10",1450
372,"MrKee.student3","UTS-1",1400
373,"TH59","sisler",1400
374,"arani11","John Polanyi CI",1400
375,"JustColdToast","CSC ",1400
376,"GJMPR","Jean Vanier Catholic Secondary School",1400
377,"CanHackBCSSgirls","CanHack Challenge - Bill Crothers Secondary School",1400
378,"mrcharrison.student11","ICS20 - Fall 2019",1351
379,"Jane31","Sisler High School",1350
380,"Czyrill13","Sisler High School",1350
381,"mynameisabdulmalik","ICS3U Fall 2019",1350
382,"BapeMadara","Sisler Highschool, Winnipeg ,Ca",1301
383,"kookie1997","John Polanyi Collegiate Institute",1300
384,"alpine1220","John Polanyi Collegiate Institute ",1300
385,"SHOTTA FLOW","sisler high school ",1300
386,"Florffiea","St.Brother Andre CHS",1300
387,"ahmedthemohammed","ICS3U Fall 2019",1300
388,"kwinzel8912","Sisler, Winnipeg, CAD",1250
389,"mrcharrison.student20","ICS20 - Fall 2019",1250
390,"DBrito","John Polyani",1250
391,"smelllikeupdog?","The Woodlands Secondary School",1200
392,"kylenguyencaio","ICS4U Fall 2019",1200
393,"AminYashedForReal","Port Credit Secondary School",1200
394,"UlasAlagoz","Keystone Computers",1200
395,"gus","clarkson ",1200
396,"Apham","ICS3U Fall 2019",1200
397,"Da Boys","Clarkson SS",1200
398,"gammareflector","ATC CyberSaints",1150
399,"ashag2002","SLSS, Mississauga ON",1150
400,"Karl","Aquinas 305",1150
401,"Sky","Clarkson",1150
402,"sbrody","ICS3U Fall 2019",1150
403,"The Legend 27","Clarkson Secondary school",1150
404,"elmo is red","Sisler High School, Winnipeg, MB",1150
405,"PotatoChickenNuggets","Humberview CanHack Grade 10 2019",1100
406,"flashup1877","john polanyi ci",1100
407,"ToshaniN","Chinguacousy Secondary School",1100
408,"joshv2","Sisler High School",1100
409,"mrcharrison.student5","ICS20 - Fall 2019",1100
410,"Winter","Chris Hadfield ",1050
411,"lakerswinningchampionship","Sisler High School",1050
412,"malvernci12345","Malvern CI",1050
413,"Smol Brians","Listowel District Secondary School",1050
414,"SabbySub272","john polanyi",1050
415,"Whanos","SaintMalachy's memorial high school",1050
416,"GODdimir","Lycee Claudel",1050
417,"WhatsGoingOn?","Period4",1050
418,"ditt0","Earl Haig SS",1050
419,"Jamesthekid","St. Michael Catholic Secondary School",1000
420,"znz100","John Polanyi",1000
421,"frankydo","uLaval",1000
422,"Marbleton19","SAC",1000
423,"Turbo11","Sisler",1000
424,"Scorched","Humberview CanHack 2019",1000
425,"Maxking20","Sisler High school",1000
426,"HAX CLAN","Period3",950
427,"lucasdemello","SAC CompEng",950
428,"sLeviAbramsky2","john polanyi",950
429,"cambo602","Craig Kielburger Secondary School Grade 11",950
430,"temp","UTS-1",900
431,"Yukon Striker","Honeypot",900
432,"mrcharrison.student6","ICS20 - Fall 2019",900
433,"YamChurch","Purpose 2019",900
434,"mrcharrison.student17","ICS20 - Fall 2019",851
435,"MonadsAreCool","Woburn CI",850
436,"NightOwlTeam","Malvern",850
437,"NapoleonDynamite","SAC CompEng",850
